,mouseEvents
0,"{'action': 0, 'point': {'y': 422, 'x': 693}, 'eventType': 1, 'timestamp': 2918}"
1,"{'action': 0, 'point': {'y': 418, 'x': 713}, 'eventType': 1, 'timestamp': 3001}"
2,"{'action': 0, 'point': {'y': 418, 'x': 713}, 'eventType': 1, 'timestamp': 3067}"
3,"{'action': 0, 'point': {'y': 428, 'x': 704}, 'eventType': 1, 'timestamp': 3135}"
4,"{'action': 0, 'point': {'y': 430, 'x': 703}, 'eventType': 1, 'timestamp': 3200}"
5,"{'action': 0, 'point': {'y': 434, 'x': 705}, 'eventType': 1, 'timestamp': 3384}"
6,"{'action': 0, 'point': {'y': 444, 'x': 701}, 'eventType': 1, 'timestamp': 3449}"
7,"{'action': 0, 'point': {'y': 443, 'x': 612}, 'eventType': 1, 'timestamp': 3512}"
8,"{'action': 0, 'point': {'y': 431, 'x': 578}, 'eventType': 1, 'timestamp': 3574}"
9,"{'action': 0, 'point': {'y': 430, 'x': 576}, 'eventType': 1, 'timestamp': 3634}"
10,"{'action': 0, 'point': {'y': 430, 'x': 577}, 'eventType': 1, 'timestamp': 3693}"
11,"{'action': 0, 'point': {'y': 431, 'x': 578}, 'eventType': 1, 'timestamp': 3754}"
12,"{'action': 0, 'point': {'y': 435, 'x': 578}, 'eventType': 1, 'timestamp': 3815}"
13,"{'action': 0, 'point': {'y': 443, 'x': 576}, 'eventType': 1, 'timestamp': 3878}"
14,"{'action': 12, 'point': {'y': 442, 'x': 576}, 'eventType': 1, 'timestamp': 3936}"
15,"{'action': 0, 'point': {'y': 442, 'x': 576}, 'eventType': 0, 'timestamp': 4221}"
16,"{'action': 0, 'point': {'y': 442, 'x': 576}, 'eventType': 2, 'timestamp': 4289}"
17,"{'action': 0, 'point': {'y': 434, 'x': 607}, 'eventType': 1, 'timestamp': 4546}"
18,"{'action': 0, 'point': {'y': 434, 'x': 607}, 'eventType': 1, 'timestamp': 4547}"
19,"{'action': 0, 'point': {'y': 427, 'x': 681}, 'eventType': 1, 'timestamp': 4613}"
20,"{'action': 0, 'point': {'y': 427, 'x': 681}, 'eventType': 1, 'timestamp': 4613}"
21,"{'action': 0, 'point': {'y': 422, 'x': 708}, 'eventType': 1, 'timestamp': 4681}"
22,"{'action': 0, 'point': {'y': 422, 'x': 708}, 'eventType': 1, 'timestamp': 4682}"
23,"{'action': 0, 'point': {'y': 428, 'x': 737}, 'eventType': 1, 'timestamp': 4979}"
24,"{'action': 0, 'point': {'y': 428, 'x': 737}, 'eventType': 1, 'timestamp': 4980}"
25,"{'action': 0, 'point': {'y': 431, 'x': 752}, 'eventType': 1, 'timestamp': 5041}"
26,"{'action': 0, 'point': {'y': 431, 'x': 752}, 'eventType': 1, 'timestamp': 5042}"
27,"{'action': 0, 'point': {'y': 431, 'x': 757}, 'eventType': 1, 'timestamp': 5102}"
28,"{'action': 0, 'point': {'y': 431, 'x': 757}, 'eventType': 1, 'timestamp': 5102}"
29,"{'action': 0, 'point': {'y': 432, 'x': 757}, 'eventType': 1, 'timestamp': 5222}"
30,"{'action': 0, 'point': {'y': 432, 'x': 757}, 'eventType': 1, 'timestamp': 5223}"
31,"{'action': 0, 'point': {'y': 432, 'x': 754}, 'eventType': 1, 'timestamp': 5285}"
32,"{'action': 0, 'point': {'y': 432, 'x': 754}, 'eventType': 1, 'timestamp': 5286}"
33,"{'action': 0, 'point': {'y': 432, 'x': 753}, 'eventType': 1, 'timestamp': 5348}"
34,"{'action': 0, 'point': {'y': 432, 'x': 753}, 'eventType': 1, 'timestamp': 5348}"
35,"{'action': 0, 'point': {'y': 432, 'x': 752}, 'eventType': 1, 'timestamp': 5411}"
36,"{'action': 0, 'point': {'y': 432, 'x': 752}, 'eventType': 1, 'timestamp': 5411}"
37,"{'action': 0, 'point': {'y': 432, 'x': 747}, 'eventType': 1, 'timestamp': 5477}"
38,"{'action': 0, 'point': {'y': 432, 'x': 747}, 'eventType': 1, 'timestamp': 5479}"
39,"{'action': 0, 'point': {'y': 432, 'x': 746}, 'eventType': 1, 'timestamp': 5536}"
40,"{'action': 0, 'point': {'y': 432, 'x': 746}, 'eventType': 1, 'timestamp': 5537}"
41,"{'action': 0, 'point': {'y': 432, 'x': 744}, 'eventType': 1, 'timestamp': 5599}"
42,"{'action': 0, 'point': {'y': 432, 'x': 744}, 'eventType': 1, 'timestamp': 5600}"
43,"{'action': 0, 'point': {'y': 432, 'x': 743}, 'eventType': 1, 'timestamp': 5720}"
44,"{'action': 0, 'point': {'y': 432, 'x': 743}, 'eventType': 1, 'timestamp': 5720}"
45,"{'action': 0, 'point': {'y': 432, 'x': 738}, 'eventType': 1, 'timestamp': 5782}"
46,"{'action': 0, 'point': {'y': 432, 'x': 738}, 'eventType': 1, 'timestamp': 5782}"
47,"{'action': 0, 'point': {'y': 431, 'x': 733}, 'eventType': 1, 'timestamp': 5844}"
48,"{'action': 0, 'point': {'y': 431, 'x': 733}, 'eventType': 1, 'timestamp': 5845}"
49,"{'action': 0, 'point': {'y': 430, 'x': 732}, 'eventType': 1, 'timestamp': 5904}"
50,"{'action': 0, 'point': {'y': 430, 'x': 732}, 'eventType': 1, 'timestamp': 5905}"
51,"{'action': 0, 'point': {'y': 430, 'x': 729}, 'eventType': 1, 'timestamp': 6202}"
52,"{'action': 0, 'point': {'y': 430, 'x': 729}, 'eventType': 1, 'timestamp': 6203}"
53,"{'action': 0, 'point': {'y': 430, 'x': 728}, 'eventType': 1, 'timestamp': 6262}"
54,"{'action': 0, 'point': {'y': 430, 'x': 728}, 'eventType': 1, 'timestamp': 6263}"
55,"{'action': 0, 'point': {'y': 430, 'x': 726}, 'eventType': 1, 'timestamp': 6387}"
56,"{'action': 0, 'point': {'y': 430, 'x': 726}, 'eventType': 1, 'timestamp': 6388}"
57,"{'action': 0, 'point': {'y': 430, 'x': 724}, 'eventType': 1, 'timestamp': 6448}"
58,"{'action': 0, 'point': {'y': 430, 'x': 724}, 'eventType': 1, 'timestamp': 6448}"
59,"{'action': 0, 'point': {'y': 430, 'x': 723}, 'eventType': 1, 'timestamp': 6507}"
60,"{'action': 0, 'point': {'y': 430, 'x': 723}, 'eventType': 1, 'timestamp': 6508}"
61,"{'action': 0, 'point': {'y': 430, 'x': 722}, 'eventType': 1, 'timestamp': 6568}"
62,"{'action': 0, 'point': {'y': 430, 'x': 722}, 'eventType': 1, 'timestamp': 6568}"
63,"{'action': 13, 'point': {'y': 430, 'x': 722}, 'eventType': 3, 'timestamp': 7219}"
64,"{'action': 0, 'point': {'y': 430, 'x': 722}, 'eventType': 0, 'timestamp': 7447}"
