Time_Acc	Acc_x	Acc_y	Acc_z	Time_Gyr	Gyr_x	Gyr_y	Gyr_z	Gyr_rate	Time_Mag	Mag_x	Mag_y	Mag_z
1522293987069	-0.001282	-0.003754	-1.000854	0	0	0	0	0	1522293983156	344.598053	224.671600	-670.259827
1522293987069	0.000122	-0.003036	-1.002533	0	0	0	0	0	1522293983239	344.373322	224.597504	-670.035095
1522293987078	-0.000504	-0.001465	-1.002487	1522293983290	-0.024481	-0.029774	-0.000999	0.038559	1522293983304	344.523438	224.671906	-670.109985
1522293987094	-0.003708	-0.004929	-1.000473	1522293983370	-0.024481	-0.029774	-0.000999	0.038559	1522293983382	345.049316	224.894806	-670.109558
1522293987110	-0.003326	-0.001053	-1.002853	1522293983450	-0.025551	-0.028712	-0.000983	0.038447	1522293983462	344.748749	224.746017	-670.109741
1522293987126	-0.002029	-0.002609	-1.001740	1522293983530	-0.024481	-0.029774	-0.000999	0.038559	1522293983543	344.597534	224.446625	-670.109131
1522293987143	-0.002121	-0.001160	-0.999023	1522293983610	-0.024481	-0.029774	-0.000999	0.038559	1522293983632	344.523743	224.746918	-670.110168
1522293987159	-0.002472	-0.001114	-1.000122	1522293983722	-0.025548	-0.029774	-0.000989	0.039245	1522293983722	345.198730	224.744217	-670.108826
1522293987175	0.000534	-0.001709	-1.000458	1522293983802	-0.025551	-0.028712	-0.000983	0.038447	1522293983802	344.298737	224.747818	-670.110657
1522293987191	-0.001556	-0.002899	-1.002274	1522293983859	-0.026615	-0.029775	-0.000979	0.039949	1522293983860	344.599030	224.821609	-670.110229
1522293987209	-0.000793	-0.002548	-1.001373	1522293983930	-0.025548	-0.029774	-0.000989	0.039245	1522293983938	345.123749	224.744507	-670.108948
1522293987223	-0.002884	-0.001831	-1.002487	1522293984010	-0.024478	-0.030836	-0.001005	0.039383	1522293984017	345.049438	224.969803	-670.184814
1522293987240	-0.002457	-0.002487	-1.000809	1522293984090	-0.025543	-0.029765	0.000079	0.039222	1522293984096	345.048126	224.594803	-670.108704
1522293987256	-0.003006	-0.003082	-1.003281	1522293984170	-0.025548	-0.029774	-0.000989	0.039245	1522293984175	344.672638	224.521317	-670.184204
1522293987272	-0.002365	-0.002747	-1.001770	1522293984250	-0.026615	-0.029775	-0.000979	0.039949	1522293984255	344.148193	224.748413	-670.335999
1522293987289	-0.000885	-0.002731	-0.999649	1522293984331	-0.024478	-0.028701	0.000075	0.037722	1522293984334	345.048492	224.969803	-670.559814
1522293987305	-0.001160	-0.003296	-1.000565	1522293984411	-0.025551	-0.028712	-0.000983	0.038447	1522293984413	344.598663	224.596603	-669.884583
1522293987321	-0.001343	-0.001984	-1.000214	1522293984493	-0.024486	-0.027649	-0.000987	0.036946	1522293984493	344.597443	224.521622	-670.259399
1522293987337	-0.000565	-0.002701	-0.999435	1522293984571	-0.024481	-0.029774	-0.000999	0.038559	1522293984572	344.524109	224.746918	-669.960205
1522293987353	-0.001404	-0.002670	-0.999496	1522293984655	-0.026615	-0.029775	-0.000979	0.039949	1522293984655	345.049042	224.819809	-670.109375
1522293987369	-0.006760	-0.003830	-1.024765	1522293984731	-0.025548	-0.029774	-0.000989	0.039245	1522293984731	344.973053	224.670105	-670.259094
1522293987386	-0.002350	-0.003464	-1.001328	1522293984811	-0.025545	-0.030837	-0.000995	0.040056	1522293984809	344.822174	224.445724	-670.258728
1522293987402	-0.003769	-0.002762	-0.998856	1522293984891	-0.024478	-0.030836	-0.001005	0.039383	1522293984889	344.373688	224.822510	-670.260742
1522293987419	-0.001053	-0.003479	-1.003845	1522293984971	-0.025551	-0.028712	-0.000983	0.038447	1522293984968	345.049805	224.969803	-670.034851
1522293987435	-0.001251	-0.003769	-1.003418	1522293985051	-0.025556	-0.028722	-0.002051	0.038500	1522293985047	344.073547	224.748718	-670.186096
1522293987451	-0.001495	-0.002350	-0.998093	1522293985131	-0.025550	-0.030847	-0.002062	0.040107	1522293985126	344.823792	224.670700	-669.959412
1522293987467	-0.000443	-0.002701	-1.003387	1522293985211	-0.025548	-0.029774	-0.000989	0.039245	1522293985206	344.222351	224.598099	-670.410400
1522293987483	-0.001892	-0.002319	-0.999802	1522293985291	-0.025553	-0.027650	-0.000977	0.037662	1522293985287	345.273743	224.743912	-670.108643
1522293987499	-0.001480	-0.001877	-1.000107	1522293985371	-0.025556	-0.028722	-0.002051	0.038500	1522293985364	345.272675	224.668900	-670.408508
1522293987516	-0.003998	-0.004959	-1.000946	1522293985453	-0.025546	-0.028702	0.000085	0.038424	1522293985443	344.373444	224.672501	-670.110229
1522293987532	-0.002899	-0.005112	-0.997437	1522293985531	-0.024476	-0.029764	0.000069	0.038535	1522293985523	344.823608	224.670700	-670.034424
1522293987548	-0.002228	-0.001419	-1.002655	1522293985611	-0.025551	-0.028712	-0.000983	0.038447	1522293985602	345.573425	224.667694	-670.107849
1522293987564	-0.002625	-0.001266	-1.001404	1522293985691	-0.024478	-0.030836	-0.001005	0.039383	1522293985682	345.424072	224.968307	-670.334106
1522293987581	-0.001419	-0.002487	-1.001602	1522293985772	-0.025550	-0.030847	-0.002062	0.040107	1522293985760	344.672241	224.371323	-670.108765
1522293987597	-0.000443	-0.003525	-1.000458	1522293985853	-0.025543	-0.029765	0.000079	0.039222	1522293985839	344.598724	224.746613	-670.110046
1522293987613	-0.000916	-0.003342	-1.001114	1522293985933	-0.024476	-0.029764	0.000069	0.038535	1522293985919	345.272827	224.518921	-670.107971
1522293987638	-0.001541	-0.003540	-1.001419	1522293986012	-0.024486	-0.029783	-0.002067	0.038612	1522293985998	345.721558	224.442123	-670.481873
1522293987646	-0.001465	-0.003876	-1.003128	1522293986091	-0.025548	-0.029774	-0.000989	0.039245	1522293986077	344.373627	224.672501	-670.035278
1522293987662	-0.002426	-0.003464	-1.000610	1522293986172	-0.024481	-0.029774	-0.000999	0.038559	1522293986156	344.672913	224.446320	-669.959045
1522293987678	-0.001251	-0.001938	-1.001328	1522293986255	-0.024481	-0.029774	-0.000999	0.038559	1522293986236	344.673126	224.596298	-670.109436
1522293987694	-0.002090	-0.003220	-1.000259	1522293986332	-0.026615	-0.029775	-0.000979	0.039949	1522293986315	345.122009	224.594498	-670.558533
1522293987711	-0.001495	-0.003387	-1.002747	1522293986412	-0.025553	-0.029784	-0.002056	0.039297	1522293986394	345.048615	224.669800	-670.033936
1522293987727	-0.000198	-0.002686	-0.999100	1522293986492	-0.025538	-0.031889	0.000067	0.040855	1522293986473	344.822754	224.595703	-670.259155
1522293987743	-0.000153	-0.004868	-1.000793	1522293986572	-0.026608	-0.030828	0.000083	0.040722	1522293986553	344.597168	224.446625	-670.259155
1522293987759	-0.001144	-0.002151	-1.001602	1522293986652	-0.025545	-0.030837	-0.000995	0.040056	1522293986632	345.198059	224.669205	-670.258606
1522293987777	-0.003204	-0.003555	-1.002533	1522293986732	-0.025553	-0.029784	-0.002056	0.039297	1522293986711	344.447174	224.447220	-670.259460
1522293987792	-0.001816	-0.002716	-0.999725	1522293986812	-0.026618	-0.028713	-0.000973	0.039165	1522293986790	344.672272	224.521317	-670.334229
1522293987808	-0.002472	-0.002853	-0.999710	1522293986892	-0.026615	-0.029775	-0.000979	0.039949	1522293986870	344.821411	224.445724	-670.558716
1522293987825	-0.002457	-0.000473	-1.000458	1522293986973	-0.024475	-0.031898	-0.001011	0.040219	1522293986948	345.197296	224.669205	-670.558594
1522293987840	-0.000839	-0.003235	-1.001709	1522293987069	-0.025548	-0.029774	-0.000989	0.039245	1522293987028	345.047577	224.594803	-670.333740
1522293987857	-0.002228	-0.003601	-0.998123	1522293987132	-0.026610	-0.031900	-0.000990	0.041553	1522293987107	344.748932	224.746017	-670.034790
1522293987873	-0.003235	-0.003479	-1.000793	1522293987212	-0.024476	-0.029764	0.000069	0.038535	1522293987186	344.673370	224.746307	-670.259888
1522293987889	-0.002487	-0.001129	-1.003159	1522293987292	-0.027680	-0.030838	-0.000974	0.041450	1522293987265	345.197968	224.744217	-670.408875
1522293987905	-0.002579	-0.001999	-0.999100	1522293987375	-0.024476	-0.029764	0.000069	0.038535	1522293987345	344.673370	224.746307	-670.259888
1522293987922	-0.002548	-0.003159	-1.001633	1522293987452	-0.027680	-0.030838	-0.000974	0.041450	1522293987424	344.822876	224.670700	-670.334412
1522293987938	-0.002335	-0.002808	-1.000198	1522293987532	-0.025548	-0.029774	-0.000989	0.039245	1522293987503	344.522797	224.746918	-670.485168
1522293987954	-0.001801	-0.000778	-1.004288	1522293987613	-0.025543	-0.029765	0.000079	0.039222	1522293987583	345.273956	224.893906	-670.259155
1522293987971	-0.003540	-0.001480	-0.999374	1522293987693	-0.025548	-0.029774	-0.000989	0.039245	1522293987662	344.373566	224.747513	-670.185486
1522293987986	-0.007568	0.002792	-1.013931	1522293987773	-0.025551	-0.028712	-0.000983	0.038447	1522293987741	344.598755	224.896606	-670.335510
1522293988025	-0.002167	-0.003036	-1.001541	1522293987853	-0.024478	-0.030836	-0.001005	0.039383	1522293987820	344.823364	224.745712	-670.259583
1522293988025	-0.004410	-0.003387	-0.997803	1522293987933	-0.024481	-0.029774	-0.000999	0.038559	1522293987899	345.274567	225.043900	-670.259583
1522293988042	-0.002106	-0.002365	-0.999817	1522293988025	-0.025548	-0.029774	-0.000989	0.039245	1522293987979	344.147369	224.448425	-670.185059